name,label
7993_left.jpeg,1
39297_left.jpeg,1
27273_right.jpeg,1
26493_right.jpeg,1
36495_left.jpeg,1
1361_right.jpeg,1
15695_right.jpeg,1
42753_right.jpeg,1
40386_left.jpeg,1
44062_left.jpeg,1
13210_left.jpeg,1
5437_right.jpeg,1
35697_right.jpeg,1
42898_left.jpeg,1
32825_right.jpeg,1
33818_left.jpeg,1
18309_right.jpeg,1
32470_right.jpeg,1
5924_left.jpeg,1
22672_right.jpeg,1
32357_right.jpeg,1
21833_right.jpeg,1
24676_left.jpeg,1
13839_left.jpeg,1
25138_right.jpeg,1
9317_right.jpeg,1
8949_right.jpeg,1
6088_right.jpeg,1
43695_right.jpeg,1
18762_right.jpeg,1
36181_right.jpeg,1
6541_right.jpeg,1
20952_right.jpeg,1
39687_left.jpeg,1
21476_right.jpeg,1
13935_left.jpeg,1
31511_right.jpeg,1
43713_right.jpeg,1
11717_right.jpeg,1
32807_right.jpeg,1
17202_left.jpeg,1
26890_left.jpeg,1
39169_right.jpeg,1
20499_left.jpeg,1
992_left.jpeg,1
37758_right.jpeg,1
2749_left.jpeg,1
16593_left.jpeg,1
25595_right.jpeg,1
28365_right.jpeg,1
6066_left.jpeg,1
38935_right.jpeg,1
17044_left.jpeg,1
3227_right.jpeg,1
37347_right.jpeg,1
16049_right.jpeg,1
12075_left.jpeg,1
8203_right.jpeg,1
26581_left.jpeg,1
42957_right.jpeg,1
25260_left.jpeg,1
4257_left.jpeg,1
18184_left.jpeg,1
15667_right.jpeg,1
8812_left.jpeg,1
17811_right.jpeg,1
33227_right.jpeg,1
6607_right.jpeg,1
30832_left.jpeg,1
8627_right.jpeg,1
10160_right.jpeg,1
814_right.jpeg,1
1744_right.jpeg,1
16496_right.jpeg,1
5358_left.jpeg,1
11106_right.jpeg,1
34120_left.jpeg,1
19097_left.jpeg,1
28586_right.jpeg,1
18864_left.jpeg,1
43054_right.jpeg,1
31769_left.jpeg,1
6313_right.jpeg,1
21970_right.jpeg,1
26564_left.jpeg,1
31347_right.jpeg,1
23523_right.jpeg,1
1211_right.jpeg,1
17009_left.jpeg,1
40675_left.jpeg,1
9148_right.jpeg,1
24731_left.jpeg,1
22063_right.jpeg,1
26442_right.jpeg,1
7396_left.jpeg,1
26967_left.jpeg,1
26192_right.jpeg,1
38517_left.jpeg,1
15040_right.jpeg,1
16335_right.jpeg,1
8779_left.jpeg,1
38402_right.jpeg,1
36684_left.jpeg,1
30242_left.jpeg,1
38137_right.jpeg,1
13427_left.jpeg,1
44179_left.jpeg,1
3682_right.jpeg,1
34752_right.jpeg,1
30753_right.jpeg,1
4195_left.jpeg,1
43359_left.jpeg,1
3332_right.jpeg,1
30043_right.jpeg,1
18509_right.jpeg,1
41383_right.jpeg,1
32277_left.jpeg,1
31961_left.jpeg,1
9895_left.jpeg,1
28095_right.jpeg,1
21127_left.jpeg,1
21504_left.jpeg,1
33285_right.jpeg,1
31888_right.jpeg,1
17998_right.jpeg,1
5514_right.jpeg,1
29342_left.jpeg,1
24386_right.jpeg,1
42393_left.jpeg,1
38132_left.jpeg,1
31580_left.jpeg,1
37477_right.jpeg,1
7934_right.jpeg,1
14973_right.jpeg,1
17990_right.jpeg,1
6731_right.jpeg,1
